날짜,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈,S&P 500 ETF,QQQ ETF
2026-04-01,40059400,29417200,45955400,37684500,24403600,23608100,58683800,168132000,1769800,30439300,15319900,129598500,21309000,27163500,5412600,2726600,3837700,8044500,9978400,74429800,19171000,3746700,5432000,40835800,5974800,97841500,79435100
2026-04-02,31289400,24099100,31453000,21666500,13433400,13518500,83031200,143143200,1828600,37068000,12747700,117134200,12634900,25105400,5410000,1604300,2987300,7340000,5631700,51498700,14021100,3588800,3408100,38463500,4269400,68358700,50941700
2026-04-06,29329900,16146600,25385500,16945500,10121700,9515700,77697600,107564300,1448600,37029300,11006800,79978800,16388600,19631400,3562500,2143700,3139500,7236700,5896500,41414900,12111300,2757700,4235600,30786400,2505500,39105800,35108500
2026-04-07,62148000,21443300,28154600,23205400,17317700,9580800,74515400,132534900,1428500,25016700,10416300,129543800,13428100,37148500,5151100,3162200,3719500,6205600,9049900,40224100,33310900,3331000,4659000,26483000,4024800,69980400,49948200
2026-04-08,41032800,33064800,51092700,33547100,20887500,32036600,78838600,147732700,2265700,30957600,15619000,184599900,19621900,23123100,6878500,2666400,3807800,8232300,8101700,49216600,31573100,4040100,7454600,35496400,7628500,93606100,63086000
2026-04-09,28121600,30435300,65964200,23739200,14606800,19012900,62164000,116428500,1433300,35087800,12716600,155609900,17611700,24209100,4339400,2940700,3191900,5320500,7349400,43101000,20514900,6802400,5499100,27126200,5373600,57134400,37837500
2026-04-10,31291500,28111100,56912800,19152600,11997600,13294800,51336000,160459500,2333000,25769900,13130500,98624400,17571100,18153900,4412700,2258100,1906900,5356400,6807400,36377600,29958100,5889200,4268000,36477200,6399900,42253500,34038500
2026-04-13,36234700,35745800,42166200,18866400,12212800,9538900,53617500,133648200,2255500,26042800,15179300,112111000,19997500,20312900,5827800,2547700,2657300,5249200,9286300,37015800,24115800,6115800,4630500,22781800,5246600,54185800,32972100
2026-04-14,48370700,37504500,72685000,27721400,18557500,17818000,59979600,161307000,2136500,40534900,11045300,112796100,17856800,17564400,5655800,2106800,3155300,4995500,6585400,52534900,24423000,6307500,5495200,25733200,5353200,63480500,49921100
2026-04-15,49913500,45063400,43045200,24918800,15104100,14952600,113810400,185338400,2346200,38023700,13074000,92051500,15066400,18045000,7684800,2140000,3514500,5211600,8049800,40370100,29559300,4749600,4459600,24695200,5925100,58240400,50102400
2026-04-16,43323100,41642400,41895700,20541500,13949600,9544800,63515100,134012900,1484300,64928300,13420600,108328300,14609000,27115800,10422100,1981600,2925900,5645500,6754700,33626400,18872900,5229500,6709000,64850800,5113000,49972400,42320600
2026-04-17,61436200,48568200,52029300,25581900,19683800,16283500,90640000,160324400,2346500,125958700,18758600,118831500,20321900,32422000,7799900,3685900,4071900,8133400,8240800,33405000,20581700,6194200,7091700,35519900,6017900,70661900,53488900
2026-04-20,36590200,27582200,39463100,18784200,12897300,12534000,64603900,119381400,1475400,63298300,13091800,96851100,16695600,22174000,5731000,2107600,3217800,6581800,5552100,32013600,16922000,5250000,6123300,34833900,3747500,43546800,37138500
2026-04-21,50209800,32048500,42922400,23123800,14623800,8660100,50530600,107945300,1367100,61962300,13548100,91402300,18653400,37226100,6357300,2066600,4895100,4564200,7301900,27734000,16275500,5779700,6833300,38950900,5414900,58941400,39580500
2026-04-22,43249200,29378200,36065100,20293000,12954200,9215600,62362800,107501000,1215200,33694300,8569700,90267300,16986100,25222700,5921300,2136100,4470200,5730100,5639800,45998100,23702500,7111000,11463100,49054200,5268100,42518500,37368400
2026-04-23,33399600,38308000,39091400,18650300,13442100,11667000,93969500,113561800,1570700,36851700,11581400,155141800,21156700,46477900,6077600,2033400,8019200,4515300,7642700,38178000,19501600,9617000,25659100,45619700,4420800,56174000,40099800
2026-04-24,38157100,27457400,53777400,26426100,18260900,13348300,62893300,214134400,1695200,32553200,8259300,281405200,18969900,65543100,5364900,2201200,4607600,6092500,10095600,35379600,22491100,6492900,13943600,81616700,6159600,45182000,45563100
2026-04-27,41466800,30867300,44906800,28576900,17443000,12805200,66735800,187172400,1620400,29707400,7992800,178820200,13810500,31684600,4077000,2653800,3615500,5311600,6593200,41298800,17451600,5067700,9962700,50585300,5663400,33135900,32717000
2026-04-28,40018900,30438100,42204400,27824100,18502300,10606800,50864400,180275400,1776000,33418100,9761400,147773500,16889300,23549000,5174300,2376400,3796900,10383500,11613700,44816600,25519200,4641700,8369400,43002500,10396200,43117400,34147900
2026-04-29,30047900,38288300,72367900,35376300,22232200,18947500,45384800,123711800,1516900,26122100,18531700,235070900,15427900,31883500,4047600,2516500,4502600,25449200,14591800,36248500,15962500,2664500,7821400,44704400,5116400,41859200,31724900
2026-04-30,91848200,70909400,100974900,72040000,44570500,52765000,51076000,225239200,2049300,40923000,12519900,160597300,21686700,41994900,7065100,3592600,4128600,9485900,10111200,36554400,21821600,5129100,11066700,42115300,7050000,67240900,40622200
2026-05-01,79844600,31330100,50780000,30075200,28007600,21357400,65210000,128257500,1508700,30323200,8760300,157427100,16087100,28827300,4447300,3820600,2987500,6360500,6479700,40118500,11870200,5064600,4491000,34173000,4584600,42888700,39055400
